Date,ind10,bse,int_bond,int_stock
"Jul 22, 2008",9.132,15503.92,61.941948,2378.370117
"Jul 23, 2008",9.038,15212.13,62.950481,2355.72998
"Jul 24, 2008",9.07,15093.12,63.122017,2414.100098
"Jul 25, 2008",9.157,14724.18,62.5182,2439.949951
"Jul 28, 2008",9.082,14645.66,63.101421,2430.610107
"Jul 29, 2008",9.393,14543.73,62.881886,2428.620117
"Jul 30, 2008",9.321,14678.23,63.286629,2453.669922
"Jul 31, 2008",9.316,14243.73,63.835537,2452.52002
"Aug 01, 2008",9.274,14401.49,64.089432,2416.97998
"Aug 04, 2008",9.2,14450.35,63.842457,2384.360107
"Aug 05, 2008",8.988,14482.22,64.020798,2389.080078
"Aug 06, 2008",9.025,14296.79,63.904175,2380.379883
"Aug 07, 2008",9.097,14048.34,63.863033,2414.709961
"Aug 08, 2008",9.029,14564.53,64.501114,2365.590088
"Aug 11, 2008",8.908,14498.51,64.555984,2361.969971
"Aug 12, 2008",8.965,15049.86,64.665779,2382.459961
"Aug 13, 2008",9.078,14899.1,64.672592,2411.639893
"Aug 14, 2008",9.161,14483.83,64.384399,2367.52002
"Aug 18, 2008",9.094,14944.97,64.983551,2349.23999
"Aug 20, 2008",9.132,14900.76,65.258926,2333.72998
"Aug 21, 2008",9.206,14662.61,65.782318,2259.040039
"Aug 22, 2008",9.085,14324.29,65.747879,2255.879883
"Aug 25, 2008",8.991,14000.81,66.023338,2269.76001
"Aug 26, 2008",8.891,13531.27,66.677498,2209.810059
"Aug 27, 2008",8.885,13518.8,66.264366,2228.699951
"Aug 28, 2008",8.799,13262.9,66.229874,2258.219971
"Aug 29, 2008",8.7,13315.6,65.376045,2261.27002
"Sep 01, 2008",8.637,14042.32,67.496941,2179.909912
"Sep 02, 2008",8.609,13994.96,67.483185,2207.899902
"Sep 04, 2008",8.476,13570.31,67.820557,2098.850098
"Sep 05, 2008",8.484,13692.52,66.828972,2199.100098
"Sep 08, 2008",8.494,13547.18,64.708046,2273.899902
"Sep 09, 2008",8.41,13102.18,64.701218,2178.97998
"Sep 10, 2008",8.357,12595.75,64.453339,2153.330078
"Sep 11, 2008",8.288,12860.43,64.735641,2155.679932
"Sep 12, 2008",8.348,13055.67,64.604858,2186.570068
"Sep 15, 2008",8.15,12526.32,65.07309,2183.340088
"Sep 16, 2008",8.097,11801.7,66.966721,1983.72998
"Sep 17, 2008",8.185,11695.24,65.334724,2091.879883
"Sep 18, 2008",8.384,11328.36,66.15667,2069.399902
"Sep 19, 2008",8.415,10527.85,66.688515,1976.719971
"Sep 22, 2008",8.464,11309.09,67.27562,1947.390015
"Sep 23, 2008",8.426,11483.4,68.498207,1862.959961
"Sep 24, 2008",8.632,10809.12,68.290947,1754.880005
"Sep 25, 2008",8.572,10581.49,67.310135,1740.329956
"Sep 26, 2008",8.58,9975.35,66.743759,1645.119995
"Sep 29, 2008",8.617,10223.09,66.274071,1649.51001
"Oct 01, 2008",8.46,10683.39,65.424576,1844.25
"Oct 03, 2008",8.291,10169.9,65.003189,1779.01001
"Oct 06, 2008",8.102,9771.7,65.624855,1628.329956
"Oct 07, 2008",8.094,8701.07,65.286339,1717.709961
